ticker,month,timeframe,roi,tp_hits,sl_hits,cycles,avg_spacing
BNB-USD,2025-01,1d,0.1867899002469312,3,0,3,4.931206740252201
XRP-USD,2025-01,1d,0.4041885413767522,9,0,9,9.6696039055875
SOL-USD,2025-01,1d,0.34642306570804066,9,0,9,10.0
TRX-USD,2025-01,1d,0.5242891955649429,7,0,7,7.171644471674956
DOGE-USD,2025-01,1d,0.21050377938703607,6,0,6,10.0
BCH-USD,2025-01,1d,0.5071588007015089,10,0,10,9.716664483294718
LEO-USD,2025-01,1d,0.4485760328425204,4,0,4,3.14451005929481
LINK-USD,2025-01,1d,0.496875,8,0,8,10.0
USDe-USD,2025-01,1d,3.7667260160487963,4,0,4,10.0
XLM-USD,2025-01,1d,0.46944242303021383,8,0,8,10.0
XAUt-USD,2025-01,1d,0.16875,3,0,3,1.5
BGB-USD,2025-01,1d,0.3450925843389268,9,0,9,8.947544980426494
PAXG-USD,2025-01,1d,0.1023186334237289,2,0,2,1.509626383432871
AAVE-USD,2025-01,1d,0.553125,8,0,8,10.0
OKB-USD,2025-01,1d,0.3787930102053724,8,0,8,9.264357453789348
ONDO-USD,2025-01,1d,0.5660801221095062,10,0,10,10.0
USDD-USD,2025-01,1d,0.00014145721321256132,0,0,0,1.5
BNB-USD,2025-02,1d,0.265151475530547,6,0,6,7.60330459464946
XRP-USD,2025-02,1d,-0.3472105267834741,2,0,2,10.0
SOL-USD,2025-02,1d,-0.9642335664410531,1,0,1,10.0
TRX-USD,2025-02,1d,0.42770806699874814,6,0,6,6.029607825277932
DOGE-USD,2025-02,1d,-0.4402976324338306,2,0,2,10.0
BCH-USD,2025-02,1d,-0.11806332503336307,0,0,0,8.575961577280383
LEO-USD,2025-02,1d,0.19032446527482533,1,0,1,4.639549728592736
LINK-USD,2025-02,1d,-0.23838378736854793,5,0,5,10.0
XLM-USD,2025-02,1d,0.09165633783599332,4,0,4,10.0
XAUt-USD,2025-02,1d,0.007710170321279292,2,0,2,1.5
BGB-USD,2025-02,1d,-2.6844062918769485,2,0,2,10.0
PAXG-USD,2025-02,1d,0.07301742328059846,3,0,3,1.6992478077105486
AAVE-USD,2025-02,1d,-0.4059930135999457,5,0,5,10.0
OKB-USD,2025-02,1d,-0.04371305290766032,4,0,4,6.119175262818585
ONDO-USD,2025-02,1d,-1.0489246902694866,3,0,3,10.0
USDD-USD,2025-02,1d,0.004309765944581159,0,0,0,1.5
BNB-USD,2025-03,1d,0.626561135471311,7,0,7,4.603699948314416
XRP-USD,2025-03,1d,-0.12491546024320996,3,0,3,8.814205334089225
SOL-USD,2025-03,1d,0.5533216564685609,5,0,5,8.776713960271945
TRX-USD,2025-03,1d,0.44062499999999993,5,0,5,4.55836174638555
DOGE-USD,2025-03,1d,0.09816045019982994,4,0,4,9.728682485801373
BCH-USD,2025-03,1d,-1.038488147366552,3,0,3,6.478828266237738
LEO-USD,2025-03,1d,-0.056171590623471275,2,0,2,2.5584320598081307
LINK-USD,2025-03,1d,0.3897217137922962,9,0,9,9.129336031927481
XLM-USD,2025-03,1d,0.5265106003266555,5,0,5,7.478423902782335
XAUt-USD,2025-03,1d,0.1428534274280355,3,0,3,1.5
BGB-USD,2025-03,1d,0.29196181828081536,9,0,9,6.881775003546601
PAXG-USD,2025-03,1d,0.22063769242333364,4,0,4,1.7098794961647943
AAVE-USD,2025-03,1d,0.33308187168729997,6,0,6,10.0
OKB-USD,2025-03,1d,0.28515409145773446,4,0,4,4.631168293010369
ONDO-USD,2025-03,1d,0.26616828582760715,4,0,4,10.0
USDD-USD,2025-03,1d,-0.0007036855425940303,0,0,0,1.5
BNB-USD,2025-04,1d,0.5520014264712881,5,0,5,2.99308431778711
XRP-USD,2025-04,1d,0.4866866326533273,7,0,7,5.9616897149327315
