ticker,month,timeframe,roi,tp_hits,sl_hits,spacing
BNB-USD,2025-01,1d,-0.0530392061076418,4,2,0.03383986768460986
XRP-USD,2025-01,1d,0.14419616320126805,13,2,0.04958206302924657
SOL-USD,2025-01,1d,0.08030086014001427,17,3,0.056765779250213345
TRX-USD,2025-01,1d,-0.09493146570448516,9,5,0.02090985612910639
DOGE-USD,2025-01,1d,-0.01627486010069333,11,2,0.06765052045390196
BCH-USD,2025-01,1d,-0.16218468250272053,9,2,0.0709315498242031
LEO-USD,2025-01,1d,0.09232603284252036,2,0,0.08813356919806431
LINK-USD,2025-01,1d,-0.0449564437587469,13,3,0.059161827084307526
USDe-USD,2025-01,1d,-0.11510992145120326,5,1,0.1
XLM-USD,2025-01,1d,0.0888549599592261,15,2,0.0696812438451659
XAUt-USD,2025-01,1d,0.14964777585995762,1,0,0.02053178731056527
BGB-USD,2025-01,1d,0.3339424969077299,17,5,0.02023716687281513
PAXG-USD,2025-01,1d,0.09366667697911907,2,0,0.0221428825937659
AAVE-USD,2025-01,1d,-0.13074825574363785,11,2,0.09054137595727334
OKB-USD,2025-01,1d,-0.10108771849516415,11,3,0.04707008096672337
ONDO-USD,2025-01,1d,0.36811943509466805,18,1,0.07692439567161159
USDD-USD,2025-01,1d,0.00014145721321256132,0,0,0.015
BNB-USD,2025-02,1d,-0.1700980152691045,9,5,0.03383986768460986
XRP-USD,2025-02,1d,-0.3699847563509684,6,4,0.04958206302924657
SOL-USD,2025-02,1d,-0.3436893510025402,9,4,0.056765779250213345
TRX-USD,2025-02,1d,-0.3457013312921663,5,7,0.02090985612910639
DOGE-USD,2025-02,1d,-0.639757806808484,10,5,0.06765052045390196
BCH-USD,2025-02,1d,-0.5258839484178497,3,3,0.0709315498242031
LEO-USD,2025-02,1d,-0.07141517333388038,0,0,0.08813356919806431
LINK-USD,2025-02,1d,-0.14872776451984465,11,3,0.059161827084307526
XLM-USD,2025-02,1d,-0.5361749261419755,8,4,0.0696812438451659
XAUt-USD,2025-02,1d,-0.024013263822853334,1,0,0.02053178731056527
BGB-USD,2025-02,1d,-0.2972880074214481,10,12,0.02023716687281513
PAXG-USD,2025-02,1d,-0.05364114846042867,2,0,0.0221428825937659
AAVE-USD,2025-02,1d,-0.6332774621921272,1,2,0.09054137595727334
OKB-USD,2025-02,1d,-0.24122894418986107,6,3,0.04707008096672337
ONDO-USD,2025-02,1d,-0.4498035235524184,7,3,0.07692439567161159
USDD-USD,2025-02,1d,-0.022572353349150944,0,0,0.015
BNB-USD,2025-03,1d,0.03294119083853729,9,3,0.03383986768460986
XRP-USD,2025-03,1d,-0.2227352745309145,12,4,0.04958206302924657
SOL-USD,2025-03,1d,-0.13459600840187705,10,3,0.056765779250213345
TRX-USD,2025-03,1d,0.26181129483806215,9,3,0.02090985612910639
DOGE-USD,2025-03,1d,-0.12135468408509041,13,3,0.06765052045390196
BCH-USD,2025-03,1d,-0.08705463631231396,9,2,0.0709315498242031
LEO-USD,2025-03,1d,-0.0593128179179621,1,0,0.08813356919806431
LINK-USD,2025-03,1d,-0.04865746823053996,13,3,0.059161827084307526
XLM-USD,2025-03,1d,0.1998022873953596,14,1,0.0696812438451659
XAUt-USD,2025-03,1d,0.21720045383623074,2,0,0.02053178731056527
BGB-USD,2025-03,1d,0.10001949567082193,14,7,0.02023716687281513
PAXG-USD,2025-03,1d,0.16880283179936667,4,0,0.0221428825937659
AAVE-USD,2025-03,1d,-0.6273723836154568,5,3,0.09054137595727334
OKB-USD,2025-03,1d,-0.2079536628124515,6,3,0.04707008096672337
ONDO-USD,2025-03,1d,-0.27981956104451455,11,3,0.07692439567161159
USDD-USD,2025-03,1d,-0.0007036855425940303,0,0,0.015
BNB-USD,2025-04,1d,-0.0354265909788046,3,1,0.03383986768460986
XRP-USD,2025-04,1d,0.34607412764135004,15,1,0.04958206302924657
SOL-USD,2025-04,1d,0.3221610269005941,14,1,0.056765779250213345
TRX-USD,2025-04,1d,0.18156439443650016,6,2,0.02090985612910639
DOGE-USD,2025-04,1d,0.13078432463935313,11,1,0.06765052045390196
BCH-USD,2025-04,1d,0.2086601710572359,12,1,0.0709315498242031
LEO-USD,2025-04,1d,0.057284451974646794,3,0,0.08813356919806431
LINK-USD,2025-04,1d,-0.08869744679132055,9,2,0.059161827084307526
XLM-USD,2025-04,1d,0.10179424672200185,11,1,0.0696812438451659
XAUt-USD,2025-04,1d,0.02302138404920697,3,2,0.02053178731056527
BGB-USD,2025-04,1d,-0.15472098061542056,7,7,0.02023716687281513
PAXG-USD,2025-04,1d,0.032337512350004545,5,2,0.0221428825937659
AAVE-USD,2025-04,1d,0.12704862413000229,11,1,0.09054137595727334
OKB-USD,2025-04,1d,0.17534164260674515,6,0,0.04707008096672337
ONDO-USD,2025-04,1d,0.1253406491712485,13,1,0.07692439567161159
USDD-USD,2025-04,1d,0.001115347878785542,0,0,0.015
BNB-USD,2025-05,1d,0.19994049460525273,7,0,0.03383986768460986
XRP-USD,2025-05,1d,0.0025076218245158087,8,2,0.04958206302924657
SOL-USD,2025-05,1d,0.0344053244987299,10,2,0.056765779250213345
TRX-USD,2025-05,1d,0.15579086322537478,6,2,0.02090985612910639
DOGE-USD,2025-05,1d,0.1278565045555297,9,1,0.06765052045390196
BCH-USD,2025-05,1d,0.013110500056500314,3,0,0.0709315498242031
LEO-USD,2025-05,1d,-0.0021757046692255245,2,0,0.08813356919806431
LINK-USD,2025-05,1d,0.02842849530150488,10,2,0.059161827084307526
XLM-USD,2025-05,1d,-0.026347604178263283,5,1,0.0696812438451659
XAUt-USD,2025-05,1d,0.057198772994306646,2,1,0.02053178731056527
BGB-USD,2025-05,1d,-0.1642592558752949,8,8,0.02023716687281513
PAXG-USD,2025-05,1d,-0.0022644223457064074,2,1,0.0221428825937659
AAVE-USD,2025-05,1d,0.4267842535397176,15,0,0.09054137595727334
OKB-USD,2025-05,1d,-0.06621024290017885,2,1,0.04707008096672337
ONDO-USD,2025-05,1d,-0.04904637402967637,11,2,0.07692439567161159
USDD-USD,2025-05,1d,0.0006975021239850321,0,0,0.015
BNB-USD,2025-06,1d,-0.0265196030538209,2,1,0.03383986768460986
XRP-USD,2025-06,1d,-0.07249237817548419,6,2,0.04958206302924657
SOL-USD,2025-06,1d,-0.040594675501270105,8,2,0.056765779250213345
TRX-USD,2025-06,1d,-0.03853305774291584,5,3,0.02090985612910639
DOGE-USD,2025-06,1d,-0.2579015833356789,5,2,0.06765052045390196
BCH-USD,2025-06,1d,0.3375,9,0,0.0709315498242031
LEO-USD,2025-06,1d,0.11905402329286517,4,0,0.08813356919806431
LINK-USD,2025-06,1d,-0.16763713126203583,6,2,0.059161827084307526
XLM-USD,2025-06,1d,-0.1595776957151611,3,1,0.0696812438451659
XAUt-USD,2025-06,1d,0.00669085660505516,2,1,0.02053178731056527
BGB-USD,2025-06,1d,0.03877476818626746,7,4,0.02023716687281513
